id,name,player_number,full_name
1,Lazer,764,Lazer
2,Girlfriend,23,Nacho Girlfriend
3,Freeze,0,Freezer Burn
4,Whoops,122,Whoopsie Daisy
5,Foxy,25,Foxy Jocie
6,Blitz,303,sugar blitz
7,Squirrely,62,Squirrely Temple
8,Maxx,8,Mad Maxxine
9,Cypher,309,Cypher
10,Slyde,20,Slydeways
11,Lit,515,Literally Katie
12,Chaos,6,Chaos party of six
13,Gnome,68,"Gaurdin"" gnome"
14,Giggles,210,Hits & Giggles
15,Kat,05,Kategory 5
16,Medic,5150,Mad Medic
17,Shovey,101,P.S. I shove You
18,Nixie,117,Nixie
19,Stare,08,Shred Astare
20,Rizzo,57,Sonic chorizo
21,Twist,86,Twisted Spinster
22,Lil Dizzy,17,Dysfunctional Dame
23,Elsa,942,Elsa
